Regioncode,Regiao,Profundidade
3,Noronha,28.5
3,Noronha,28.5
3,Noronha,18
3,Noronha,27
3,Noronha,40
3,Noronha,10
3,Noronha,33
3,Noronha,33
3,Noronha,28.5
3,Noronha,28.5
3,Noronha,45.3
3,Noronha,17
3,Noronha,18
3,Noronha,29
3,Noronha,12
3,Noronha,17
3,Noronha,13
3,Noronha,22
3,Noronha,20
3,Noronha,17
3,Noronha,26
3,Noronha,29
3,Noronha,29
3,Noronha,29
3,Noronha,24
3,Noronha,24
3,Noronha,24
3,Noronha,12
3,Noronha,45
3,Noronha,45
3,Noronha,45
3,Noronha,50
3,Noronha,50
3,Noronha,12
3,Noronha,30
3,Noronha,53
3,Noronha,53
3,Noronha,27
3,Noronha,50
3,Noronha,50
3,Noronha,50
3,Noronha,50
3,Noronha,50
3,Noronha,50
3,Noronha,50
3,Noronha,50
3,Noronha,50
3,Noronha,28
3,Noronha,35
3,Noronha,36
3,Noronha,48
3,Noronha,25
3,Noronha,25
3,Noronha,25
3,Noronha,17
3,Noronha,17
3,Noronha,15
3,Noronha,20
3,Noronha,24
3,Noronha,28
3,Noronha,50
3,Noronha,40
3,Noronha,50
3,Noronha,50
3,Noronha,32
3,Noronha,32
3,Noronha,23
3,Noronha,40
3,Noronha,40
3,Noronha,20
3,Noronha,16
3,Noronha,23
3,Noronha,23
1,Norte,92
1,Norte,90
1,Norte,70
1,Norte,60
1,Norte,60
1,Norte,102
1,Norte,97
1,Norte,98
1,Norte,78
1,Norte,78
1,Norte,78
1,Norte,78
1,Norte,90
1,Norte,60
1,Norte,60
1,Norte,100
1,Norte,70
1,Norte,92
1,Norte,92
1,Norte,92
1,Norte,100
1,Norte,90
1,Norte,90
1,Norte,10
2,NE,4.0
2,NE,4.0
2,NE,4.0
2,NE,5.0
2,NE,5.0
2,NE,3.0
2,NE,3.0
2,NE,3.0
2,NE,3.0
2,NE,2.0
2,NE,2.0
2,NE,1.5
2,NE,5.0
2,NE,4.0
2,NE,4.5
2,NE,3
2,NE,3
2,NE,3
2,NE,3
2,NE,12
2,NE,12
2,NE,12
2,NE,12
2,NE,12
2,NE,12
2,NE,12
2,NE,12
2,NE,3.0
2,NE,3.0
2,NE,3
2,NE,3
2,NE,3
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,3
2,NE,3
2,NE,3
2,NE,3
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,2
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,1
2,NE,3
2,NE,3
2,NE,6
2,NE,3
2,NE,1
2,NE,34
2,NE,30
2,NE,3
2,NE,30
2,NE,3
2,NE,28
2,NE,2
2,NE,2
2,NE,3
2,NE,10
2,NE,10
2,NE,24
2,NE,34
2,NE,1
2,NE,3
2,NE,3
2,NE,3
2,NE,3
2,NE,3
2,NE,3
2,NE,8
2,NE,8
2,NE,8
2,NE,8
2,NE,16
2,NE,18
2,NE,20
