"","Regioncode","Regiao","Profundidade"
"1",3,"Noronha",28.5
"2",3,"Noronha",28.5
"3",3,"Noronha",18
"4",3,"Noronha",27
"5",3,"Noronha",40
"6",3,"Noronha",10
"7",3,"Noronha",33
"8",3,"Noronha",33
"9",3,"Noronha",28.5
"10",3,"Noronha",28.5
"11",3,"Noronha",45.3
"12",3,"Noronha",17
"13",3,"Noronha",18
"14",3,"Noronha",29
"15",3,"Noronha",12
"16",3,"Noronha",17
"17",3,"Noronha",13
"18",3,"Noronha",22
"19",3,"Noronha",20
"20",3,"Noronha",17
"21",3,"Noronha",26
"22",3,"Noronha",29
"23",3,"Noronha",29
"24",3,"Noronha",29
"25",3,"Noronha",24
"26",3,"Noronha",24
"27",3,"Noronha",24
"28",3,"Noronha",12
"29",3,"Noronha",45
"30",3,"Noronha",45
"31",3,"Noronha",45
"32",3,"Noronha",50
"33",3,"Noronha",50
"34",3,"Noronha",12
"35",3,"Noronha",30
"36",3,"Noronha",53
"37",3,"Noronha",53
"38",3,"Noronha",27
"39",3,"Noronha",50
"40",3,"Noronha",50
"41",3,"Noronha",50
"42",3,"Noronha",50
"43",3,"Noronha",50
"44",3,"Noronha",50
"45",3,"Noronha",50
"46",3,"Noronha",50
"47",3,"Noronha",50
"48",3,"Noronha",28
"49",3,"Noronha",35
"50",3,"Noronha",36
"51",3,"Noronha",48
"52",3,"Noronha",25
"53",3,"Noronha",25
"54",3,"Noronha",25
"55",3,"Noronha",17
"56",3,"Noronha",17
"57",3,"Noronha",15
"58",3,"Noronha",20
"59",3,"Noronha",24
"60",3,"Noronha",28
"61",3,"Noronha",50
"62",3,"Noronha",40
"63",3,"Noronha",50
"64",3,"Noronha",50
"65",3,"Noronha",32
"66",3,"Noronha",32
"67",3,"Noronha",23
"68",3,"Noronha",40
"69",3,"Noronha",40
"70",3,"Noronha",20
"71",3,"Noronha",16
"72",3,"Noronha",23
"73",3,"Noronha",23
