"","Regioncode","Regiao","Profundidade"
"1",2,"NE",4
"2",2,"NE",4
"3",2,"NE",4
"4",2,"NE",5
"5",2,"NE",5
"6",2,"NE",3
"7",2,"NE",3
"8",2,"NE",3
"9",2,"NE",3
"10",2,"NE",2
"11",2,"NE",2
"12",2,"NE",1.5
"13",2,"NE",5
"14",2,"NE",4
"15",2,"NE",4.5
"16",2,"NE",3
"17",2,"NE",3
"18",2,"NE",3
"19",2,"NE",3
"20",2,"NE",12
"21",2,"NE",12
"22",2,"NE",12
"23",2,"NE",12
"24",2,"NE",12
"25",2,"NE",12
"26",2,"NE",12
"27",2,"NE",12
"28",2,"NE",3
"29",2,"NE",3
"30",2,"NE",3
"31",2,"NE",3
"32",2,"NE",3
"33",2,"NE",1
"34",2,"NE",1
"35",2,"NE",1
"36",2,"NE",1
"37",2,"NE",1
"38",2,"NE",1
"39",2,"NE",3
"40",2,"NE",3
"41",2,"NE",3
"42",2,"NE",3
"43",2,"NE",1
"44",2,"NE",1
"45",2,"NE",1
"46",2,"NE",1
"47",2,"NE",1
"48",2,"NE",1
"49",2,"NE",1
"50",2,"NE",1
"51",2,"NE",1
"52",2,"NE",1
"53",2,"NE",1
"54",2,"NE",1
"55",2,"NE",2
"56",2,"NE",1
"57",2,"NE",1
"58",2,"NE",1
"59",2,"NE",1
"60",2,"NE",1
"61",2,"NE",1
"62",2,"NE",3
"63",2,"NE",3
"64",2,"NE",6
"65",2,"NE",3
"66",2,"NE",1
"67",2,"NE",34
"68",2,"NE",30
"69",2,"NE",3
"70",2,"NE",30
"71",2,"NE",3
"72",2,"NE",28
"73",2,"NE",2
"74",2,"NE",2
"75",2,"NE",3
"76",2,"NE",10
"77",2,"NE",10
"78",2,"NE",24
"79",2,"NE",34
"80",2,"NE",1
"81",2,"NE",3
"82",2,"NE",3
"83",2,"NE",3
"84",2,"NE",3
"85",2,"NE",3
"86",2,"NE",3
"87",2,"NE",8
"88",2,"NE",8
"89",2,"NE",8
"90",2,"NE",8
"91",2,"NE",16
"92",2,"NE",18
"93",2,"NE",20
