"","Regioncode","Regiao","CT"
"1",3,"Noronha",20.3
"2",3,"Noronha",8.1
"3",3,"Noronha",8.87
"4",3,"Noronha",11.86
"5",3,"Noronha",12.22
"6",3,"Noronha",12.2
"7",3,"Noronha",12.5
"8",3,"Noronha",12.4
"9",3,"Noronha",13.2
"10",3,"Noronha",14.1
"11",3,"Noronha",13.4
"12",3,"Noronha",14.9
"13",3,"Noronha",15.4
"14",3,"Noronha",16.1
"15",3,"Noronha",17.2
"16",3,"Noronha",17.5
"17",3,"Noronha",16.1
"18",3,"Noronha",18.7
"19",3,"Noronha",17.8
"20",3,"Noronha",19.3
"21",3,"Noronha",18.6
"22",3,"Noronha",19.4
"23",3,"Noronha",17.6
"24",3,"Noronha",16.2
"25",3,"Noronha",17.4
"26",3,"Noronha",21.8
"27",3,"Noronha",20.7
"28",3,"Noronha",18.7
"29",3,"Noronha",19.2
"30",3,"Noronha",20.3
"31",3,"Noronha",19.8
"32",3,"Noronha",25.6
"33",3,"Noronha",24.6
"34",3,"Noronha",21.7
"35",3,"Noronha",23.6
"36",3,"Noronha",21.2
"37",3,"Noronha",26.4
"38",3,"Noronha",25.2
"39",3,"Noronha",26.5
"40",3,"Noronha",26.9
"41",3,"Noronha",31.2
"42",3,"Noronha",24.5
"43",3,"Noronha",27
"44",3,"Noronha",26.4
"45",3,"Noronha",29
"46",3,"Noronha",28.5
"47",3,"Noronha",25.7
